TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON
Alabama A&M,SWAC,28,12,91.6,105.0,0.1731,46.3,45.2,19.8,20.2,27.6,34.2,41.5,54.6,45.0,44.5,32.3,31.4,65.8,-12.4,DNC
Alabama St.,SWAC,29,16,95.1,111.7,0.1352,45.5,49.7,17.6,21.4,33.3,34.7,40.7,40.0,47.2,50.9,28.0,31.4,67.5,-9.4,DNC
Alcorn St.,SWAC,28,9,93.2,110.0,0.1289,45.2,49.5,17.8,19.1,28.6,34.5,41.4,41.4,45.2,48.2,30.1,34.8,63.8,-14.9,DNC
Appalachian St.,SC,26,5,91.3,109.9,0.1057,44.2,52.7,18.7,18.9,33.4,31.3,41.1,43.1,44.3,51.6,29.4,37.1,66.3,-16.5,DNC
Arkansas,SEC,34,22,110.6,96.4,0.8303,50.1,46.2,15.7,23.2,31.8,36.6,40.2,43.0,48.0,43.6,36.2,34.6,72.8,0.1,DNC
Arkansas Pine Bluff,SWAC,29,11,92.3,107.1,0.1531,47.0,54.0,22.3,23.9,29.2,33.4,41.1,50.7,44.7,53.3,34.1,36.8,66.7,-12.0,DNC
Arkansas St.,SB,30,17,105.9,104.5,0.5385,52.3,48.4,17.7,18.2,26.9,31.5,42.4,36.1,48.3,48.3,38.6,32.5,68.5,-7.3,DNC
Army,Pat,30,14,104.7,109.7,0.369,51.1,52.4,18.9,19.9,32.0,33.5,32.6,35.3,51.4,49.7,33.8,39.0,68.9,-10.6,DNC
Auburn,SEC,30,14,110.5,103.9,0.6706,48.9,49.8,17.9,18.8,31.7,33.1,44.1,48.7,50.0,45.4,31.0,38.7,67.9,-5.4,DNC
Austin Peay,OVC,28,10,100.6,110.4,0.2559,52.6,53.3,21.4,19.9,29.6,35.1,49.3,34.9,53.5,52.7,33.5,36.2,70.9,-13.8,DNC
Ball St.,MAC,28,3,96.7,108.3,0.2137,46.6,51.5,25.0,16.3,34.0,30.4,42.6,45.4,46.3,52.3,31.5,33.1,67.4,-17.9,DNC
Belmont,OVC,35,25,113.4,105.4,0.6977,57.6,52.0,18.6,20.5,28.2,33.3,41.2,42.9,56.9,52.1,39.0,34.5,69.3,-2.0,DNC
Binghamton,AE,30,7,92.3,109.6,0.1225,43.9,52.8,21.5,19.8,29.1,32.4,44.2,40.8,41.5,49.6,32.0,38.5,66.2,-18.0,DNC
Boise St.,MWC,31,18,114.3,103.7,0.7546,51.2,51.3,15.0,17.0,32.1,26.4,36.6,42.3,49.8,50.4,35.9,35.3,65.5,-3.3,DNC
Boston College,ACC,31,7,114.5,109.8,0.618,52.1,52.1,17.4,15.0,27.1,35.1,44.5,41.5,51.7,50.3,35.1,37.9,63.2,-10.0,DNC
Boston University,Pat,35,24,107.0,101.4,0.649,52.3,49.8,17.6,20.4,28.1,29.8,29.9,31.5,50.9,48.2,36.3,35.4,66.8,-2.6,DNC
Bowling Green,MAC,31,11,92.0,97.1,0.3495,45.5,47.3,22.1,20.5,30.4,31.2,36.3,38.5,46.4,44.3,28.3,35.6,66.6,-12.7,DNC
Bradley,MVC,32,12,100.0,103.3,0.4081,46.4,50.0,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,64.5,-12.6,DNC
Bryant,NEC,31,17,104.7,108.4,0.4008,52.5,50.0,18.1,18.0,29.0,34.0,37.1,32.8,53.8,47.5,33.2,36.4,67.6,-8.2,DNC
Bucknell,Pat,30,16,102.7,101.2,0.5434,48.9,47.9,16.8,14.4,29.0,24.4,31.7,31.8,44.6,46.5,39.0,33.9,64.7,-7.9,DNC
Buffalo,MAC,28,18,110.1,103.6,0.6667,50.2,47.1,18.5,19.2,35.1,31.4,41.8,36.3,50.0,47.6,33.7,30.6,68.1,-5.0,DNC
Butler,BE,30,13,105.9,98.3,0.7022,47.3,50.1,15.3,17.7,30.4,28.5,37.7,31.4,47.3,51.4,31.4,31.4,63.8,-5.6,DNC
Cal St. Bakersfield,WAC,31,12,100.0,105.8,0.343,49.5,49.0,21.0,19.0,34.3,31.5,38.7,52.5,45.4,50.0,38.6,31.4,65.4,-14.3,DNC
Cal St. Fullerton,BW,31,11,99.9,108.0,0.2907,48.1,50.7,17.8,17.0,29.1,29.1,38.1,45.9,47.3,50.6,33.1,34.0,67.3,-13.8,DNC
Cal St. Northridge,BW,33,15,105.1,111.7,0.3323,48.9,52.1,18.2,17.3,33.0,31.2,48.8,41.9,47.3,52.3,36.4,34.6,68.9,-12.3,DNC
California,P12,35,21,110.9,99.8,0.7717,50.7,46.9,15.1,15.0,29.5,29.8,35.6,33.7,50.2,44.3,34.5,35.3,66.4,-0.6,DNC
Campbell,BSth,28,9,97.3,114.5,0.1336,51.3,52.0,20.3,16.0,31.0,36.2,27.4,37.0,50.2,51.7,35.1,35.1,63.8,-14.8,DNC
Canisius,MAAC,33,21,111.8,109.0,0.5713,52.7,50.9,16.5,19.6,31.8,36.3,38.0,35.3,49.9,51.4,38.6,33.4,67.0,-4.0,DNC
Central Arkansas,Slnd,27,6,95.5,112.4,0.133,49.3,52.0,20.3,19.2,28.0,37.8,38.2,49.0,46.9,52.0,36.7,34.5,72.2,-16.5,DNC
Central Connecticut,NEC,29,10,97.2,111.1,0.1759,48.1,50.9,19.9,18.2,28.8,36.4,29.6,34.2,47.3,48.8,33.5,36.6,70.2,-14.6,DNC
Central Michigan,MAC,29,8,106.1,116.8,0.2493,49.3,57.0,16.5,19.5,29.0,32.1,37.1,39.7,50.8,58.3,31.6,36.5,65.6,-15.8,DNC
Charleston Southern,BSth,27,9,105.6,109.7,0.391,51.3,51.9,16.1,16.9,29.9,29.6,34.8,38.3,48.3,47.4,37.0,40.2,67.5,-12.7,DNC
Charlotte,CUSA,31,17,102.0,102.4,0.4892,49.7,49.2,21.0,17.4,33.8,29.7,39.5,36.1,48.2,49.2,35.6,32.8,69.6,-6.9,DNC
Chattanooga,SC,30,15,99.9,109.8,0.2511,47.4,51.5,18.9,17.9,34.1,32.4,44.6,36.1,46.7,51.7,32.5,34.0,68.8,-9.7,DNC
Chicago St.,WAC,30,11,97.4,109.0,0.215,46.8,52.5,17.1,22.1,27.0,37.0,33.8,53.6,45.1,52.1,33.3,35.5,69.5,-12.6,DNC
Clemson,ACC,36,23,106.7,93.9,0.8116,47.4,43.9,18.2,17.3,33.8,32.5,36.1,28.6,47.9,44.3,31.0,28.5,60.0,0.2,DNC
Cleveland St.,Horz,31,19,109.3,102.3,0.6813,52.7,47.8,19.3,19.3,31.9,31.5,37.5,44.3,48.8,46.6,40.2,33.4,64.4,-4.2,DNC
Colgate,Pat,30,12,108.6,108.4,0.5041,56.4,50.6,18.1,16.2,23.6,28.6,28.1,34.8,54.0,50.6,40.1,33.8,64.2,-12.1,DNC
College of Charleston,CAA,31,13,98.7,99.3,0.4826,47.3,45.5,20.3,15.1,34.8,27.9,34.4,43.1,44.9,43.4,34.5,34.2,62.6,-11.6,DNC
Colorado St.,MWC,30,14,110.0,107.5,0.5663,46.2,51.5,14.1,16.8,34.7,27.7,47.6,37.4,45.7,48.4,31.6,38.2,66.7,-7.7,DNC
Coppin St.,MEAC,31,11,99.5,112.7,0.1924,45.3,53.1,17.2,19.3,30.2,36.8,40.2,35.8,43.1,53.1,32.4,35.4,68.1,-13.8,DNC
Davidson,SC,32,19,113.1,107.2,0.6488,54.7,51.7,16.6,17.7,29.1,28.6,38.4,45.5,53.5,51.0,37.8,36.0,67.9,-5.3,DNC
Delaware St.,MEAC,28,7,97.3,112.9,0.1523,46.3,49.5,19.5,18.1,29.0,35.7,38.7,41.1,45.8,51.5,31.6,30.7,59.9,-15.7,DNC
Denver,Sum,30,15,110.2,108.9,0.5358,54.3,52.6,16.6,21.0,24.8,33.4,34.7,49.2,51.8,53.4,38.4,33.8,59.4,-7.6,DNC
DePaul,BE,33,12,105.3,106.5,0.4664,47.6,53.9,19.7,19.1,33.8,32.0,42.0,46.7,46.3,52.9,33.6,37.4,67.6,-7.6,DNC
Detroit,Horz,30,11,100.7,103.5,0.4216,45.8,50.1,18.5,19.5,32.6,30.5,38.5,50.3,45.7,47.9,30.8,36.1,68.0,-11.8,DNC
Drake,MVC,30,14,104.2,105.8,0.4556,52.1,51.2,18.8,16.9,26.8,27.1,38.2,38.6,47.4,50.9,39.7,34.5,64.7,-8.3,DNC
Drexel,CAA,30,16,103.9,101.5,0.5666,46.6,47.2,12.9,17.1,28.9,29.7,39.2,46.6,46.4,47.6,31.4,30.8,64.1,-6.4,DNC
Duquesne,A10,30,13,109.9,108.1,0.5468,50.6,53.3,16.2,17.6,29.9,28.9,42.2,33.6,48.5,49.6,36.3,39.3,68.5,-8.0,DNC
East Carolina,CUSA,30,13,106.4,110.3,0.398,51.3,51.9,18.3,18.1,29.3,35.4,41.6,31.9,48.3,54.1,36.7,31.9,65.5,-9.9,DNC
East Tennessee St.,ASun,34,18,102.8,109.8,0.3181,49.3,50.7,16.3,19.6,27.4,32.2,42.8,42.0,46.4,51.4,36.1,33.0,70.2,-10.7,DNC
Eastern Illinois,OVC,27,9,99.0,111.1,0.2087,48.7,53.6,20.1,17.8,30.6,30.7,41.8,45.7,48.7,50.3,32.5,40.3,65.6,-13.7,DNC
Eastern Michigan,MAC,34,19,97.9,94.4,0.6022,44.2,43.8,17.9,22.6,30.4,37.1,43.0,40.2,43.8,41.2,30.0,32.0,64.8,-6.1,DNC
Eastern Washington,BSky,29,13,105.9,110.4,0.3826,51.9,50.4,17.5,14.8,29.9,30.2,40.4,41.9,49.5,49.4,37.2,35.0,71.0,-10.7,DNC
Elon,SC,29,16,104.1,106.4,0.4369,52.3,49.0,17.6,16.8,26.9,31.8,35.8,40.6,50.9,48.6,36.3,33.3,66.4,-7.7,DNC
Evansville,MVC,31,12,103.6,105.9,0.4398,49.8,51.1,19.2,18.1,26.5,32.3,49.1,37.7,48.9,49.7,35.3,35.7,67.4,-10.6,DNC
Fairfield,MAAC,32,7,96.3,103.2,0.3118,46.0,47.1,21.8,16.6,30.5,29.1,34.6,58.6,43.6,45.3,33.3,34.6,66.4,-17.5,DNC
Fairleigh Dickinson,NEC,29,9,100.8,113.0,0.2119,47.7,51.2,17.6,18.4,30.3,38.1,35.7,47.8,45.0,49.0,35.0,37.0,66.6,-14.0,DNC
FIU,CUSA,28,13,100.8,106.6,0.3441,48.5,49.4,20.4,18.2,33.2,33.7,42.9,37.5,49.1,49.0,31.3,33.5,66.7,-8.8,DNC
Florida A&M,MEAC,30,12,93.9,108.1,0.1649,44.4,47.8,20.4,20.6,35.6,35.8,33.9,56.3,42.5,47.2,32.3,32.8,71.7,-13.6,DNC
Florida Atlantic,CUSA,30,8,101.2,106.9,0.347,47.7,47.7,19.5,16.7,33.3,34.0,36.2,41.4,46.9,46.6,32.7,33.7,65.0,-15.1,DNC
Florida Gulf Coast,ASun,33,20,99.2,100.8,0.4533,51.1,47.7,19.2,18.6,30.0,28.6,36.0,35.4,52.5,45.8,31.9,34.2,67.8,-7.4,DNC
Florida St.,ACC,36,22,112.0,97.6,0.8301,51.7,45.4,21.3,18.9,34.5,35.7,45.6,36.2,49.7,43.5,38.0,32.9,67.2,1.4,DNC
Fordham,A10,31,10,108.0,110.9,0.4232,45.0,52.5,16.4,18.0,35.4,35.6,33.4,42.3,44.5,51.9,30.6,35.7,69.3,-10.3,DNC
Fresno St.,MWC,37,19,110.7,103.9,0.6738,49.9,48.8,14.7,16.6,24.0,31.6,40.6,42.0,47.1,49.5,36.3,31.5,67.1,-5.8,DNC
Furman,SC,27,7,94.0,114.0,0.0977,48.8,52.5,20.9,16.1,26.5,34.9,40.6,29.9,48.9,51.0,32.4,37.0,65.2,-16.0,DNC
Gardner Webb,BSth,30,15,99.7,104.6,0.3651,47.6,50.8,17.9,20.0,33.2,31.5,41.2,38.7,47.2,51.2,32.5,33.2,66.8,-9.9,DNC
George Mason,A10,31,11,106.3,102.4,0.6066,48.4,50.1,19.8,17.8,31.7,29.9,40.1,47.3,47.0,50.0,35.2,33.5,66.9,-9.4,DNC
Georgetown,BE,33,18,114.3,100.0,0.8228,51.1,47.9,17.9,18.2,31.9,32.1,44.8,52.4,51.8,46.8,33.1,33.3,65.1,-1.6,DNC
Georgia,SEC,34,20,107.9,99.0,0.7275,48.9,45.9,20.0,16.0,35.3,29.8,54.1,43.4,47.5,44.8,34.9,31.9,64.5,-1.8,DNC
Georgia Southern,SC,31,12,97.9,110.1,0.2072,48.8,51.8,17.9,18.1,30.3,30.3,36.9,32.8,48.4,51.5,33.0,34.9,66.7,-14.5,DNC
Georgia St.,SB,32,23,114.0,104.3,0.736,53.1,49.6,11.9,20.1,24.9,34.1,38.8,36.0,51.1,48.3,38.0,34.3,66.0,-2.2,DNC
Georgia Tech,ACC,33,16,105.7,97.9,0.7082,47.8,47.4,18.4,15.4,32.7,28.5,34.4,37.9,48.0,46.2,31.5,33.2,66.2,-4.5,DNC
Grambling St.,SWAC,27,4,94.5,122.4,0.0486,46.5,57.4,21.9,18.3,30.6,36.1,40.5,40.5,45.3,57.7,32.5,37.9,68.4,-19.3,DNC
Green Bay,Horz,28,21,106.5,98.3,0.7165,50.9,46.0,18.7,19.9,34.0,32.5,43.0,34.1,50.9,44.7,34.0,32.4,67.2,0.4,DNC
Hampton,MEAC,30,17,95.5,101.0,0.3454,46.4,45.1,20.2,22.1,32.9,35.1,50.9,53.6,46.0,41.6,31.6,35.4,71.4,-8.4,DNC
Hartford,AE,33,17,101.2,107.6,0.3317,54.2,51.3,21.7,20.4,24.0,32.0,38.9,41.3,52.4,51.2,37.6,34.3,63.8,-10.8,DNC
Hawaii,BW,29,18,109.9,107.5,0.5635,51.3,51.0,16.8,19.2,37.3,31.6,42.4,40.4,51.9,50.8,33.2,34.2,69.0,-6.3,DNC
High Point,BSth,29,14,105.8,111.3,0.3588,52.2,53.7,18.3,18.0,30.3,33.3,32.4,35.0,49.7,54.3,38.6,35.0,64.6,-8.8,DNC
Hofstra,CAA,33,10,105.0,112.2,0.3189,48.4,51.9,18.8,15.3,35.5,30.9,45.1,41.2,47.2,49.4,33.4,37.7,65.5,-16.0,DNC
Holy Cross,Pat,34,20,104.2,102.3,0.552,49.0,49.9,18.2,18.8,29.8,27.5,39.4,30.2,46.9,47.0,35.3,37.4,64.7,-6.4,DNC
Houston,Amer,33,17,110.7,107.9,0.5731,51.2,50.1,18.9,16.4,31.6,34.0,38.2,34.6,49.5,49.0,36.7,34.9,67.3,-4.5,DNC
Howard,MEAC,31,6,87.6,105.8,0.1017,42.1,49.9,24.0,21.3,31.8,36.3,49.3,54.4,38.9,49.8,32.9,33.4,67.6,-19.0,DNC
Idaho,WAC,33,15,104.9,112.0,0.3201,50.3,51.5,16.9,15.1,30.7,30.8,44.8,41.2,48.7,52.0,35.6,33.7,67.3,-12.6,DNC
Idaho St.,BSky,27,9,103.1,112.0,0.2793,49.4,53.9,18.9,19.2,35.4,31.8,45.4,35.3,47.8,50.7,35.6,38.7,64.6,-13.4,DNC
Illinois,B10,35,20,105.4,93.1,0.8065,46.5,48.1,16.5,18.7,31.2,29.3,31.2,32.2,45.9,46.3,31.7,34.3,63.1,0.3,DNC
Illinois Chicago,Horz,29,4,101.3,108.1,0.3208,46.1,53.1,19.0,16.6,30.4,28.1,39.2,49.9,44.8,51.4,32.6,37.8,66.4,-18.3,DNC
