TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON
Indiana,B10,36,29,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,7.8,S16
Gonzaga,WCC,34,31,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55.0,42.1,36.5,32.9,65.1,7.6,R32
Kansas,B12,37,31,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,S16
Louisville,BE,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,50.8,43.4,33.3,31.8,67.1,9.0,Champions
Georgetown,BE,32,25,107.6,85.0,0.9381,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,62.5,6.6,R64
Miami FL,ACC,36,29,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,6.3,S16
Ohio St.,B10,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,E8
Duke,ACC,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29.0,67.8,7.5,E8
Michigan St.,B10,35,26,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,S16
Marquette,BE,35,26,113.0,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,E8
New Mexico,MWC,35,29,107.0,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,65.4,6.9,R64
Florida,SEC,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31.0,29.9,54.3,41.8,37.8,31.0,62.8,4.1,E8
Kansas St.,B12,34,26,113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63.0,5.4,R64
Saint Louis,A10,35,28,108.0,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44.0,35.0,50.0,44.1,34.0,33.1,64.7,3.8,R32
Michigan,B10,38,30,121.5,93.7,0.9522,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,2ND
Syracuse,BE,40,30,113.0,87.0,0.9533,49.0,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,F4
Wisconsin,B10,35,23,107.2,84.3,0.9406,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,61.9,4.6,R64
Oklahoma St.,B12,33,24,107.1,88.6,0.8983,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,R64
UNLV,MWC,34,24,104.7,88.4,0.8749,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,R64
VCU,A10,36,27,113.8,92.1,0.9195,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2.6,R32
UCLA,P12,35,25,110.0,94.8,0.8475,49.1,47.5,15.8,19.9,30.7,34.0,33.1,24.6,48.9,46.9,33.3,32.4,69.6,3.3,R64
Butler,A10,35,26,109.2,93.0,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,R32
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,S16
Memphis,CUSA,36,31,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,R32
