TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON
Louisville,ACC,36,22,112.0,96.4,0.8486,51.8,47.0,16.7,18.9,28.6,31.4,31.9,29.3,49.7,45.8,37.1,32.9,70.6,0.5,DNC
Arkansas,SEC,35,23,116.7,100.4,0.8483,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,2.8,R64
Saint Mary's,WCC,36,30,118.7,102.3,0.8468,58.7,49.2,15.4,15.1,28.9,22.8,30.4,24.8,57.1,49.5,41.0,32.3,64.6,1.3,DNC
Nevada,MWC,37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18.0,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,S16
Loyola Chicago,MVC,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32.0,66.4,2.0,F4
Marquette,BE,35,21,120.1,103.8,0.8434,56.8,53.8,17.3,18.1,27.6,29.6,28.8,38.9,52.2,53.8,41.7,35.9,70.4,1.0,DNC
Baylor,B12,33,19,110.5,95.5,0.843,51.8,47.7,19.8,17.2,35.5,29.7,32.2,30.2,51.3,46.2,35.4,33.4,67.6,0.1,DNC
USC,P12,36,24,114.0,98.6,0.8423,53.8,51.0,15.3,19.2,30.0,28.8,29.9,26.6,52.4,49.8,37.6,35.2,69.0,-0.4,DNC
Missouri,SEC,32,20,111.0,96.0,0.842,54.1,46.7,20.8,16.0,30.3,27.9,38.3,30.3,50.3,45.4,39.0,32.7,66.8,0.4,R64
Oklahoma,B12,32,18,114.6,99.5,0.835,53.5,51.0,17.3,16.8,28.4,30.0,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1.1,R64
Syracuse,ACC,37,23,106.0,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64.0,-0.4,S16
Mississippi St.,SEC,36,25,111.2,96.6,0.8343,52.2,48.3,19.1,19.5,32.1,30.7,31.7,29.7,55.2,47.2,31.5,33.3,68.6,0.0,DNC
Nebraska,B10,33,22,110.4,96.1,0.8325,49.1,47.0,16.0,18.3,30.1,34.0,37.6,26.5,47.6,46.5,34.6,32.2,68.7,1.9,DNC
Notre Dame,ACC,35,21,114.1,99.4,0.8305,51.1,49.3,14.7,16.4,31.1,28.8,31.0,22.6,49.6,47.0,35.6,35.4,66.7,-0.7,DNC
Davidson,A10,33,21,117.0,102.3,0.823,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35.0,65.5,-2.9,R64
North Carolina St.,ACC,33,21,115.6,101.3,0.821,53.4,51.6,16.8,20.4,33.4,32.0,34.2,33.7,52.1,53.6,37.2,31.6,72.8,0.9,R64
Middle Tennessee,CUSA,32,25,110.3,96.8,0.8186,53.1,49.2,18.6,19.1,30.7,22.3,30.1,40.8,51.9,50.4,37.1,31.5,67.7,0.8,DNC
Utah,P12,35,23,111.4,97.9,0.8156,54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,53.6,47.0,37.0,33.6,67.1,-1.5,DNC
Arizona St.,P12,32,20,115.7,102.1,0.8089,53.8,50.6,14.7,20.4,28.0,30.6,41.3,32.7,53.2,50.2,36.4,34.2,72.7,-1.2,R68
Boise St.,MWC,31,23,109.2,96.3,0.8087,53.8,48.8,18.9,16.4,29.3,18.4,31.0,29.5,52.0,48.4,37.5,33.0,70.1,-0.4,DNC
Alabama,SEC,36,20,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,R32
Western Kentucky,CUSA,37,27,113.8,100.7,0.8039,54.2,49.4,16.6,17.9,29.0,29.3,40.0,23.9,54.6,46.7,35.4,36.0,69.5,-1.2,DNC
UCLA,P12,33,21,113.7,100.6,0.8029,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0.0,R68
Providence,BE,35,21,108.4,95.9,0.8027,49.6,50.3,17.4,19.0,28.9,29.0,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,R64
Georgia,SEC,33,18,107.5,95.3,0.8007,47.5,45.6,19.2,14.5,34.8,28.9,40.1,27.7,47.4,43.1,31.8,33.2,65.6,-1.1,DNC
South Dakota St.,Sum,31,28,113.2,100.4,0.7989,54.3,50.0,14.0,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.6,R64
Rhode Island,A10,34,26,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31.0,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,R32
New Mexico St.,WAC,31,28,106.8,95.0,0.7927,51.6,46.0,17.4,19.0,33.8,22.5,29.1,33.0,52.0,45.7,34.0,31.1,69.4,1.3,R64
Old Dominion,CUSA,32,25,107.5,95.7,0.791,50.7,47.7,15.5,21.6,32.3,26.2,33.0,30.3,49.3,45.6,35.7,33.8,66.0,-0.9,DNC
Louisiana Lafayette,SB,32,27,112.2,100.6,0.7774,52.7,49.1,18.3,19.6,35.9,27.9,38.0,36.1,52.4,48.5,35.4,33.6,71.6,-0.5,DNC
St. John's,BE,32,16,106.0,95.1,0.7764,49.2,50.3,16.4,22.2,23.6,32.0,30.4,34.4,48.8,46.0,33.3,37.4,70.5,-3.0,DNC
Buffalo,MAC,35,27,114.5,102.7,0.7761,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,R32
LSU,SEC,33,18,114.2,102.7,0.7721,54.5,52.7,16.6,19.6,29.2,31.6,32.5,32.7,56.3,52.6,34.6,35.3,69.5,-1.9,DNC
Georgetown,BE,30,15,111.5,100.4,0.7688,51.8,50.8,20.7,17.0,31.3,26.0,38.3,28.3,50.1,49.9,36.6,34.8,71.4,-3.5,DNC
Indiana,B10,31,16,108.8,98.0,0.7685,51.1,50.8,18.2,19.7,31.8,29.5,36.4,32.2,52.5,48.4,32.2,36.7,67.8,-2.9,DNC
Fresno St.,MWC,30,21,108.5,98.0,0.7631,54.5,49.6,17.4,18.8,26.6,24.6,38.4,39.0,52.7,46.7,39.0,36.8,67.7,-3.8,DNC
Wisconsin,B10,33,15,108.7,98.3,0.7618,50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,51.2,50.6,33.5,35.0,63.9,-3.8,DNC
South Carolina,SEC,32,17,104.7,94.8,0.759,46.2,49.3,19.7,21.0,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,69.8,-3.1,DNC
Northwestern,B10,31,15,109.0,99.0,0.7512,49.5,51.0,17.8,19.0,29.4,27.7,29.1,37.0,47.1,48.9,35.4,36.2,65.5,-4.2,DNC
Oregon,P12,36,23,110.0,100.0,0.7501,53.3,50.3,17.1,19.0,31.0,26.8,31.7,36.3,53.1,48.4,35.7,35.6,68.6,-2.3,DNC
St. Bonaventure,A10,34,26,109.6,99.7,0.7485,51.6,49.0,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32.0,70.4,1.4,R64
South Dakota,Sum,31,26,108.3,98.6,0.7458,52.1,48.4,15.7,19.9,29.4,27.1,35.7,29.7,51.9,47.1,35.0,33.7,71.7,-1.8,DNC
Murray St.,OVC,30,26,110.6,100.8,0.7449,55.0,47.2,17.6,18.0,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,-0.4,R64
Boston College,ACC,35,19,112.6,102.8,0.7399,52.1,51.8,18.2,17.6,30.1,26.0,30.7,27.1,51.1,50.1,35.9,36.1,70.9,-1.9,DNC
Stanford,P12,35,19,107.6,98.5,0.7341,51.9,49.7,20.6,15.9,32.8,27.0,41.6,29.2,50.3,47.9,36.9,35.1,71.9,-4.3,DNC
Illinois,B10,31,14,110.7,101.7,0.727,49.8,53.3,18.8,23.2,34.0,31.3,33.1,47.9,49.8,54.1,33.2,34.5,71.2,-6.5,DNC
Iowa St.,B12,31,13,110.2,101.3,0.7249,49.9,51.0,17.0,16.4,29.5,30.6,29.8,26.5,47.9,51.0,35.8,33.9,70.1,-4.3,DNC
Wake Forest,ACC,31,11,110.4,101.6,0.7242,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39.0,47.4,48.1,37.4,37.7,70.7,-7.9,DNC
BYU,WCC,35,24,106.7,98.2,0.7226,54.1,51.3,16.8,18.5,22.5,22.8,37.6,28.4,55.3,51.9,34.7,33.6,68.7,-1.8,DNC
Belmont,OVC,33,24,112.3,103.4,0.7217,58.8,48.9,18.1,16.9,25.2,25.7,27.9,26.8,61.7,48.1,37.6,33.5,68.3,-2.7,DNC
UNC Greensboro,SC,32,27,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,33.7,23.9,26.0,39.2,51.1,47.3,35.0,31.9,66.2,-1.6,R64
Iowa,B10,33,14,116.1,106.9,0.7202,54.3,53.1,18.7,15.5,34.1,28.0,35.4,28.1,53.3,51.2,37.5,37.6,71.4,-5.7,DNC
Montana,BSky,32,26,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,R64
Vanderbilt,SEC,32,12,114.7,105.9,0.7142,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,67.0,-6.0,DNC
Temple,Amer,33,17,107.4,99.3,0.7113,49.3,49.8,15.9,18.7,27.7,32.4,25.6,31.5,47.2,50.5,35.0,32.4,68.4,-3.3,DNC
DePaul,BE,31,11,103.8,96.0,0.7111,47.9,52.0,19.4,20.2,32.9,28.1,29.4,32.3,48.5,49.2,31.0,37.1,71.0,-6.7,DNC
Northern Kentucky,Horz,30,22,106.2,98.3,0.7087,53.8,47.1,17.6,19.2,28.0,26.8,31.0,31.7,55.7,46.7,34.0,31.8,69.6,-4.5,DNC
SMU,Amer,33,17,107.6,99.8,0.7041,52.0,49.5,18.0,21.7,32.7,31.7,30.5,30.6,48.7,48.6,37.9,33.8,65.4,-6.3,DNC
Furman,SC,31,23,108.1,100.8,0.6911,54.9,50.1,16.5,20.6,27.0,28.6,28.2,29.9,56.8,51.4,35.3,32.0,69.7,-4.0,DNC
Georgia St.,SB,33,24,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44.0,38.7,33.8,67.7,-5.1,R64
Washington,P12,34,21,105.9,98.8,0.6886,51.7,50.7,18.6,21.1,28.9,33.3,36.7,34.4,51.6,50.9,34.6,33.4,70.8,-2.5,DNC
Tulsa,Amer,31,19,108.5,101.4,0.6853,50.7,49.5,18.6,17.9,32.0,29.6,41.6,25.3,49.7,47.9,34.7,34.4,68.8,-4.1,DNC
Stephen F. Austin,Slnd,31,28,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,32.0,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,R64
Utah Valley,WAC,31,23,109.0,102.0,0.6814,54.2,48.1,19.8,17.5,30.9,27.5,39.1,28.5,51.9,47.4,38.9,32.9,69.2,-4.1,DNC
New Mexico,MWC,33,19,113.2,106.1,0.6778,53.5,54.8,16.8,22.0,26.1,31.0,34.6,39.9,51.4,53.7,37.1,38.1,72.2,-6.1,DNC
Bucknell,Pat,35,25,108.0,101.3,0.676,53.9,47.8,17.0,17.0,27.0,27.5,42.6,34.5,55.0,47.0,34.8,33.1,72.9,-3.0,R64
Vermont,AE,34,27,110.7,103.8,0.6759,55.9,50.6,16.9,16.8,26.0,22.6,41.8,25.0,53.8,49.9,39.9,34.6,65.2,-0.9,DNC
Northern Colorado,BSky,35,26,106.7,100.2,0.674,53.7,48.8,16.7,17.3,25.6,24.4,33.7,36.7,54.0,48.7,35.5,32.8,73.1,-6.2,DNC
Northern Iowa,MVC,30,16,103.6,97.3,0.6732,48.5,49.8,17.5,17.0,24.5,22.1,31.3,25.6,47.3,46.4,33.5,37.0,63.7,-7.1,DNC
Oregon St.,P12,32,16,107.4,100.9,0.6713,52.1,49.6,19.4,18.6,31.8,28.7,38.7,38.2,53.3,48.1,32.9,34.8,66.8,-7.3,DNC
Northeastern,CAA,32,23,106.1,99.8,0.6709,56.9,49.4,19.8,17.9,25.3,25.6,35.1,33.0,57.6,51.1,37.3,30.0,68.0,-4.0,DNC
Minnesota,B10,32,15,108.3,101.8,0.6706,48.7,50.5,15.5,16.0,30.0,29.5,35.1,27.1,47.1,47.3,34.6,37.5,71.2,-5.0,DNC
Mississippi,SEC,32,12,110.4,103.9,0.6687,48.3,51.5,15.9,17.3,31.3,30.7,33.8,36.9,48.7,48.1,31.9,37.8,71.0,-7.0,DNC
East Tennessee St.,SC,32,25,103.5,97.5,0.6652,53.8,47.1,19.7,20.6,30.7,27.7,33.1,33.4,54.8,46.4,34.7,32.0,68.9,-3.1,DNC
UNLV,MWC,33,20,110.4,104.1,0.6637,53.5,48.7,19.1,15.5,34.5,29.9,43.4,26.2,54.8,46.7,33.4,35.2,73.8,-4.8,DNC
Marshall,CUSA,35,25,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35.0,75.9,-2.5,R32
Colorado,P12,32,17,104.8,99.0,0.6588,50.6,49.3,20.0,15.1,29.3,26.3,33.3,34.0,48.8,46.6,35.8,35.7,69.2,-4.5,DNC
UAB,CUSA,31,20,108.0,102.5,0.6448,54.7,50.6,19.0,17.6,30.9,25.0,28.3,26.8,55.9,49.1,34.8,35.0,68.8,-6.1,DNC
Georgia Tech,ACC,32,13,103.4,98.5,0.6385,46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,46.6,45.4,31.8,37.9,67.0,-6.7,DNC
San Diego,WCC,33,20,104.1,99.3,0.6325,53.1,46.3,19.6,17.8,22.4,26.4,39.3,41.9,51.7,46.4,36.6,30.7,68.0,-5.7,DNC
Saint Joseph's,A10,32,16,104.5,99.9,0.628,48.8,49.6,13.9,16.2,23.5,24.5,34.6,24.6,47.7,48.9,33.7,33.7,71.6,-8.1,DNC
Missouri St.,MVC,32,18,108.3,103.6,0.6271,49.4,47.5,17.4,14.8,33.1,25.8,27.3,30.4,49.4,46.0,32.9,33.5,66.7,-8.0,DNC
Toledo,MAC,33,23,113.2,108.3,0.6248,55.3,49.5,16.6,13.4,27.8,27.8,37.1,26.4,51.4,48.5,40.6,34.4,69.5,-4.5,DNC
UCF,Amer,32,19,97.4,93.5,0.6165,47.8,45.7,20.7,18.9,28.5,28.6,43.1,26.2,47.1,43.7,32.9,33.1,65.8,-3.4,DNC
Bradley,MVC,32,20,103.9,99.7,0.6155,48.9,47.7,20.0,20.3,31.3,29.0,37.8,35.6,46.6,46.2,35.6,33.3,67.0,-5.6,DNC
Eastern Washington,BSky,33,20,107.4,103.3,0.6107,54.0,51.0,16.8,16.9,21.6,25.0,28.0,35.4,52.0,49.6,37.9,35.8,67.9,-7.1,DNC
UC Santa Barbara,BW,30,23,110.2,106.2,0.6045,53.0,49.9,14.9,16.6,28.7,27.0,32.0,29.5,50.5,48.9,38.3,34.4,67.9,-3.9,DNC
Wyoming,MWC,32,20,104.6,101.2,0.5944,52.1,51.0,17.6,19.1,19.5,25.7,41.2,37.8,52.7,48.6,34.2,37.0,74.5,-3.8,DNC
Rutgers,B10,33,15,98.1,95.0,0.589,43.6,48.0,17.2,20.5,33.3,29.1,30.5,30.8,43.4,47.6,29.6,32.5,67.2,-6.8,DNC
UT Arlington,SB,33,21,104.7,101.5,0.5886,52.5,49.2,20.1,19.3,30.8,27.7,34.8,34.7,51.0,47.9,36.5,33.9,73.9,-6.2,DNC
La Salle,A10,32,13,104.6,101.6,0.5849,49.0,51.7,16.5,17.5,25.5,25.4,31.0,33.8,48.8,48.8,32.9,38.1,70.1,-11.1,DNC
VCU,A10,33,18,105.5,102.7,0.5788,52.6,51.5,18.7,17.8,29.0,27.0,28.1,29.4,52.4,50.9,35.2,35.1,72.0,-7.0,DNC
North Texas,CUSA,36,20,105.5,102.8,0.5741,51.2,48.6,18.7,17.3,30.2,25.7,33.6,38.8,50.0,49.1,35.4,31.9,68.5,-10.2,DNC
Florida Gulf Coast,ASun,32,23,105.8,103.2,0.5707,55.3,49.9,19.5,18.9,31.3,26.7,33.4,35.1,54.9,49.2,37.3,34.0,72.2,-6.4,DNC
UC Davis,BW,31,22,103.2,100.8,0.5691,52.0,49.4,18.6,21.9,24.4,29.1,38.5,36.5,50.7,49.2,36.6,33.0,67.5,-4.4,DNC
College of Charleston,CAA,32,26,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52.0,48.7,35.9,34.6,66.0,-2.1,R64
